,text,unit
16," A cannon of mass \(5\text{\ }m\) (including a shell of mass
\(m\) ) is at rest on a smooth horizontal ground, fires the shell with
its barrel at an angle \(\theta\) with the horizontal at a velocity u
relative to cannon. Find the horizontal distance of the point where
shell strikes the ground from the initial position of the cannon:

(1) \(\frac{4u^{2}sin2\theta}{5g}\)

(2) \(\frac{u^{2}sin2\theta}{5g}\)

(3) \(\frac{3u^{2}sin2\theta}{5g}\)

(4) \(\frac{8u^{2}sin2\theta}{5g}\)

","Conservation of Momentum, Collisions and COM"
17," A shell is fired from a cannon with a velocity
\(v(\text{\ }m/s)\) at an angle \(\theta\) with the horizontal
direction. At the highest point in its path it explodes into two pieces
of equal mass. One of the pieces retraces its path to the cannon and the
speed \((m/s)\) of the other piece immediately after the explosion is :-

(1) \(3vcos\theta\)

(2) \(2vcos\theta\)

(3) \(\frac{3}{2}vcos\theta\)

(4) \(\sqrt{\frac{3}{2}}vcos\theta\)

","Conservation of Momentum, Collisions and COM"
18," A ball hits the floor and rebounds after an inelastic
collision. In this case :-

(1) the momentum of the ball just after the collision is the
same as that just before the collision

(2) the mechanical energy of the ball remains the same in the
collision

(3) the total momentum of the ball and the earth is conserved

(4) the total energy of the ball and the earth is conserved

","Conservation of Momentum, Collisions and COM"
20," A body of mass \(1\text{\ }\text{kg}\) strikes elastically
with another body at rest and continues to move in the same direction
with one fourth of the initial velocity. The mass of the other body is -

(1) \(0.6\text{\ }\text{kg}\)

(2) \(2.4\text{\ }\text{kg}\)

(3) \(3\text{\ }\text{kg}\)

(4) \(4\text{\ }\text{kg}\)

","Conservation of Momentum, Collisions and COM"
21," A small bucket of mass \(\text{Mkg}\) is attached to a long
inextensible cord of length \(\text{Lm}\). The bucket is released from
rest when the cord is in a horizontal position. At its lowest position,
the bucket scoops up \(\text{mkg}\) of water and swings up to a height
\(h\). The height \(h\) in meters is

(1) \(\left( \frac{M}{M + m} \right)^{2}L\)

(2) \(\left( \frac{M}{M + m} \right)L\)

(3) \(\left( \frac{M + m}{M} \right)^{2}\text{\ }L\)

(4) \(\left( \frac{M + m}{M} \right)L\)

","Conservation of Momentum, Collisions and COM"
22," A particle moving horizontally collides with a fixed plane
inclined at \(60^{\circ}\) to the horizontal. If it bounces vertically,
the coefficient of restitution is:

(1) \(\frac{1}{\sqrt{3}}\)

(2) \(\frac{2}{\sqrt{3}}\)

(3) \(\frac{1}{3}\)

(4) None of these

","Conservation of Momentum, Collisions and COM"
23," A ball of mass \(2\text{\ }m\) impinges directly on a ball
of mass \(m\), which is at rest. If the velocity with which the larger
ball impinges be equal to the velocity of the smaller mass after impact
then the coefficient of restitution

(1) \(\frac{1}{3}\)

(2) \(\frac{3}{4}\)

(3) \(\frac{1}{2}\)

(4) \(\frac{2}{5}\)

","Conservation of Momentum, Collisions and COM"
24," A body of mass \(2\text{\ }\text{kg}\) is projected upward
from the surface of the ground at \(t = 0\) with a velocity of
\(20\text{\ }m/s\). One second later a body \(B\), also of mass
\(2\text{\ }\text{kg}\), is dropped from a height of \(20\text{\ }m\).
If they collide elastically, then velocities just after collision are

(1) \(v_{A} = 5\text{\ }m/s\) downward,
\(v_{B} = 5\text{\ }m/s\) upward

(2) \(v_{A} = 10\text{\ }m/s\) downward,
\(v_{B} = 5\text{\ }m/s\) upward

(3) \(V_{A} = 10\text{\ }m/s\) upward,
\(v_{B} = 10\text{\ }m/s\) downward

(4) both move downward with velocity \(5\text{\ }m/s\)

","Conservation of Momentum, Collisions and COM"
27," Two objects move in the same direction in a straight line.
One moves with a constant velocity \(v_{1}\). The other starts at rest
and has constant acceleration a. They collide when the second object has
velocity \(2v_{1}\). The distance between the two objects when the
second one starts moving is

(1) zero

(2) \(\frac{v_{1}^{2}}{2a}\)

(3) \(\frac{v_{1}^{2}}{a}\)

(4) \(\frac{2v_{1}^{2}}{a}\)

","Conservation of Momentum, Collisions and COM"
29," Two particles \(A\) and \(B\) start moving due to their
mutual interaction only. If at any time 't',
\({\overrightarrow{a}}_{A}\) and \({\overrightarrow{a}}_{B}\) are their
respective accelerations, \({\overrightarrow{v}}_{A}\) and
\({\overrightarrow{v}}_{B}\) are their respective velocities, and upto
that time \(W_{A}\) and \(W_{B}\) are the work done on \(A\) and \(B\)
respectively by the mutual force, \(m_{A}\) and \(m_{B}\) are their
masses respectively, then which of the following is always correct.

(1) \({\overrightarrow{v}}_{A} + {\overrightarrow{v}}_{B} = 0\)

(2)
\(m_{A}{\overrightarrow{v}}_{A} + m_{B}{\overrightarrow{v}}_{B} = 0\)

(3) \(W_{A} + W_{B} = 0\)

(4) \({\overrightarrow{a}}_{A} + {\overrightarrow{a}}_{B} = 0\)

","Conservation of Momentum, Collisions and COM"
31," A balloon having mass ' \(m\) ' is filled with gas and is
held in hands of a boy. Then suddenly it gets released and gas starts
coming out of it with a constant rate. The velocity of the ejected gas
is \(2\text{\ }m/s\) with respect to the balloon. Find out the velocity
of the balloon when the mass of gas is reduced to half.

(1) \(ln2\)

(2) \(2\mathcal{l}n4\)

(3) \(2\mathcal{l}n2\)

(4) None of these

","Conservation of Momentum, Collisions and COM"
34," A ball is bouncing down a set of stairs. The coefficient of
restitution is e. The height of each step is d and the ball bounces one
step at each bounce. After each bounce the ball rebounds to a height
\(h\) above the next lower step. Neglect width of each step in
comparison to \(h\) and assume the impacts to be effectively head on.
Which of the following relation is correct ?

(1) \(\frac{h}{d} = 1 - e^{2}\)

(2) \(\frac{h}{d} = 1 - e\)

(3) \(\frac{h}{d} = \frac{1}{1 - e^{2}}\)

(4) \(\frac{h}{d} = \frac{1}{1 - e}\)

","Conservation of Momentum, Collisions and COM"
40," A continuous stream of particles of mass \(m\) and velocity
\(v\), is emitted from a source at a rate of \(n\) per second. The
particles travel along a straight line, collide with a body of mass
\(M\) and get embedded in the body. If the mass \(M\) was originally at
rest, its velocity when it has received \(N\) particles will be

(1) \(\frac{\text{mvn}}{\text{Nm} + n}\)

(2) \(\frac{\text{mvN}}{Nm + M}\)

(3) \(\frac{\text{mv}}{Nm + M}\)

(4) \(\frac{Nm + M}{\text{mv}}\)

","Conservation of Momentum, Collisions and COM"
41," Three particles start from origin at the same time with a
velocity \(2{\text{\ }\text{ms}}^{- 1}\) along positive \(x\)-axis, the
second with a velocity \(6{\text{\ }\text{ms}}^{- 1}\) along negative
\(y\)-axis. Find the velocity of the third particle along \(x = y\) line
so that the three particles may always lie in a straight line

(1) \(- 3\sqrt{3}\)

(2) \(3\sqrt{2}\)

(3) \(- 3\sqrt{2}\)

(4) \(2\sqrt{2}\)

","Conservation of Momentum, Collisions and COM"
43," A body of mass \(M\) moves in outer space with velocity v.
It is desired to break the body into two parts so that the mass of one
part is one-tenth of the total mass. After the explosion, the heavier
part comes to rest while the lighter part continues to move in the
original direction of motion. The velocity of the small part will be

(1) \(v\)

(2) \(\left( \frac{v}{2} \right)\)

(3) \(\left( \frac{v}{10} \right)\)

(4) \(10v\)

","Conservation of Momentum, Collisions and COM"
47," A bead of mass \(m\) and diameter \(d\) is sliding back and
forth with velocity \(v\) on a wire held between two rigid walls of
length L. Assume that the collisions with the wall are perfectly elastic
and there is no friction. The average force that the bouncing bead
exerts on the one of the walls is

(1) \(\frac{\text{mv}^{2}}{\text{\ }L - d}\)

(2) \(\frac{mv^{2}}{L + d}\)

(3) \(\frac{2mv^{2}}{L - d}\)

(4) \(\frac{2mv^{2}}{L + d}\)

","Conservation of Momentum, Collisions and COM"
48," A set of \(n\)-identical cubical blocks lies at rest
parallel to each other along a line on a smooth horizontal surface. The
separation between the near surfaces of any two adjacent blocks is L.
The block at one end is given a speed \(v\) towards the next one at time
\(t = 0\). All collisions are completely inelastic, then

(1) The last block starts moving at
\(t = n(n - 1)\frac{L}{2v}\)

(2) The last block starts moving at \(t = (n - 1)\frac{L}{v}\)

(3) The centre of mass of the system will have a final speed
\(\frac{v}{n}\)

(4) The centre of mass of the system will have a final speed
\(v\).

","Conservation of Momentum, Collisions and COM"
51," In a one dimensional collision between two identical
particles \(A\) and \(B,B\) is stationary and A has momentum \(p\)
before impact. During impact, \(B\) gives impulse \(J\) to \(A\).

(1) The total momentum of the 'A plus B' system is \(p\) before
and after the impact, and (p-1) during the impact.

(2) During the impact \(A\) gives impulse \(J\) to \(B\)

(3) The coefficient of restitution is
\(\frac{2\text{\ }J}{p} - 1\)

(4) The coefficient of restitution is \(\frac{J}{p} + 1\)

","Conservation of Momentum, Collisions and COM"
52," Two balls of same mass are dropped from the same height
onto the floor. The first ball bounces upwards from the floor
elastically. The second ball sticks to the floor. The first applies an
impulse to the floor of \(I_{1}\) and the second applies an impulse
\(I_{2}\). The impulses obey

(1) \(I_{2} = 2I_{1}\)

(2) \(I_{2} = \frac{I_{1}}{2}\)

(3) \(I_{2} = 4I_{1}\)

(4) \(I_{2} = \frac{I_{1}}{4}\)

","Conservation of Momentum, Collisions and COM"
59," After scaling a wall of \(3\text{\ }m\) height a man of
weight \(W\) drops himself to the ground. If his body comes to a
complete stop in \(0.15\) s. After his feet touch the ground, calculate
the average impulsive force in the vertical direction exerted by ground
on his feet.

(1) \(5\text{\ }W\)

(2) \(5.21\text{\ }W\)

(3) \(3\text{\ }W\)

(4) \(6\text{\ }W\)

","Conservation of Momentum, Collisions and COM"
60," An open water tight railway wagon of mass
\(5 \times 10^{3}\text{\ }\text{kg}\) coasts at an initial velocity
\(1.2\text{\ }m/s\) without friction on a railway track. Rain drops fall
vertically downwards into the wagon. The velocity of the wagon after it
has collected \(10^{3}\text{\ }\text{kg}\) of water will be

(1) \(0.5\text{\ }m/s\)

(2) \(2\text{\ }m/s\)

(3) \(1\text{\ }m/s\)

(4) \(1.5\text{\ }m/s\)

","Conservation of Momentum, Collisions and COM"
64," A spherical ball of mass \(1\text{\ }\text{kg}\) moving
with a uniform speed of \(1\text{\ }m/s\) collides symmetrically with
two identical spherical balls of mass \(1\text{\ }\text{kg}\) each at
rest touching each other. If the two balls move with \(0.5\text{\ }m/s\)
in two directions at the same angle of 60 with the direction of the
first ball, the loss of kinetic energy on account of the collision is :

(1) \(0.125\text{\ }J\)

(2) \(0.5\text{\ }J\)

(3) \(1.0\text{\ }J\)

(4) \(0.75\text{\ }J\)

","Conservation of Momentum, Collisions and COM"
65," A smooth sphere A of mass \(m\) collides elastically with
an identical sphere \(B\) at rest. The velocity of \(A\) before
collision is \(8\text{\ }m/s\) in a direction making 60 with the line of
centres at the time of impact.

(1) The sphere A comes to rest after collision.

(2) The sphere B will move with a speed of \(8\text{\ }m/s\)
after collision.

(3) The directions of motion \(A\) and \(B\) after collision
are at right angles.

(4) The speed of \(B\) after collision is \(4\text{\ }m/s\).

","Conservation of Momentum, Collisions and COM"
66," A particle moving with kinetic energy \(= 3\text{\ }J\)
makes an elastic head-on collision with a stationary particle which has
twice its mass. During the impact,

(1) the minimum kinetic energy of the system is
\(1\text{\ }J\).

(2) the maximum elastic potential energy of the system is
\(2\text{\ }J\).

(3) momentum and total energy are conserved at every instant.

(4) the ratio of kinetic energy to potential energy of the
system first decreases and then increases.

","Conservation of Momentum, Collisions and COM"
69," A bag of mass \(M\) hangs by a long thread and a bullet
(mass ) comes horizontally with velocity \(v\) and gets caught in the
bag. Then for the combined system (bag \(+\) bullet) :

(1) Momentum is \(mMv/(M + m)\)

(2) kinetic energy is \((1/2)\text{Mv}^{2}\)

(3) Momentum is \(\text{mv}\)

(4) kinetic energy is \(m^{2}v^{2}/2(M + m)\)

","Conservation of Momentum, Collisions and COM"
70," A ball moving with a velocity \(v\) hits a massive wall
moving towards the ball with a velocity \(u\). An elastic impact lasts
for a time \(\text{Δt}\).

(1) The average elastic force acting on the ball is
\(\frac{m(u + v)}{\text{Δt}}\)

(2) The average elastic force acting on the ball is
\(\frac{2\text{\ }m(u + v)}{\text{Δt}}\)

(3) The kinetic energy of the ball increases by \(2mu(u + v)\)

(4) The kinetic energy of the ball remains the same after the
collision


","Conservation of Momentum, Collisions and COM"
71," Statement-1: In case of bullet fired from gun, the ratio of
kinetic energy of gun and bullet is equal to ratio of mass of bullet and
gun.

and

Statement-2 : In firing, momentum is conserved.

(1) Statement-1 is True, Statement-2 is True ; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
72," Statement-1: When a girl jumps from a boat, the boat
slightly moves away from the shore. and

Statement-2 : The total linear momentum of an isolated system remain
conserved.

(1) Statement-1 is True, Statement-2 is True; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
73," Statement-1: In a two body collision, the momenta of the
particles are equal and opposite to one another, before as well as after
the collision when measured in the center of mass frame.

and

Statement-2 : The momentum of the system is zero from the centre of mass
frame.

(1) Statement-1 is True, Statement-2 is True ; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True ; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
74," Statement-1: The centre of mass and centre of gravity of a
body are two different positions in general. and

Statement-2 : The centre of mass and centre of gravity of a body
coincide if gravitational field is uniform.

(1) Statement-1 is True, Statement-2 is True ; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
76," Statement-1 : The coefficient of restitution is less than
one for all collisions studied under Newton's laws of restitution.

and

Statement-2 : For a perfectly elastic collision, coefficient of
restitution is equal to one.

(1) Statement-1 is True, Statement-2 is True; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
77," Statement-1: No external force acts on system of two spheres
which undergo a perfectly elastic head on collision. The minimum kinetic
energy of this system is zero if the net momentum of this system is
zero.

and

Statement-2 : In any two body system undergoing perfectly elastic head
on collision, at the instant of maximum deformation, the complete
kinetic energy of the system is converted to deformation potential
energy of the system.

(1) Statement-1 is True, Statement-2 is True ; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True ; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
78," Statement-1: A sphere of mass \$m\$ moving with speed u
undergoes a perfectly elastic head on collision with another sphere of
heavier mass \$M\$ at rest \$(M
\textbackslash gg\textgreater\textgreater m)\$, then direction of
velocity of sphere of mass \$\textbackslash mathrm\{m\}\$ is reversed
due to collision {[}no external force acts on system of two spheres{]}

and

Statement-2 : During a collision of spheres of unequal masses, the
heavier exerts more force on lighter mass in comparison to the force
which lighter mass exerts on heavier mass.

(1) Statement-1 is True, Statement-2 is True; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True ; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
79," Statement-1 : If a ball projected up obliquely from the
ground breaks up into several fragments in its path, the centre of mass
of the system of all fragments move in same parabolic path compared to
initial one till all fragments are in air.

and

Statement-2 : In the situation of statement-1, at the instant of
breaking, the fragments may be thrown in different directions with
different speeds.

(1) Statement-1 is True, Statement-2 is True ; Statement-2 is a
correct explanation for Statement-1

(2) Statement-1 is True, Statement-2 is True ; Statement-2 is
not a correct explanation for Statement-1

(3) Statement-1 is True, Statement-2 is False.

(4) Statement-1 is False, Statement-2 is True.

","Conservation of Momentum, Collisions and COM"
80," Final velocity of the wedge is \(m/s: -\)

(1) \(\sqrt{3}\)

(2) \(\sqrt{2}\)

(3) \(\frac{1}{\sqrt{2}}\)

(4) \(\frac{1}{\sqrt{3}}\)

","Conservation of Momentum, Collisions and COM"
81," The block will strike the \(x\)-axis at
\(x = \ldots\ldots\ldots\ldots\ldots m: -\)

(1) \(4.2\)

(2) \(7.6\)

(3) \(5.6\)

(4) \(6.8\)

","Conservation of Momentum, Collisions and COM"
82," Normal reaction between the two blocks at an instant when
absolute acceleration of \(m\) is \(5\sqrt{3}\text{\ }m/s^{2}\) at 60
with horizontal is N. Normal reaction at this instant is making 30 with
horizontal :

(1) 6

(2) 10

(3) 4

(4) 5

","Conservation of Momentum, Collisions and COM"
83," At the same instant reaction on the wedge from the ground is
","Conservation of Momentum, Collisions and COM"
84,"........... \(N\).

(1) \(42.5\)

(2) 40

(3) \(43.46\)

(4) None of these


","Conservation of Momentum, Collisions and COM"
85," If the collision is elastic, the value of \(J\) is
\(\ldots\ldots\ldots\ldots\ldots.N - s\) :

(1) \(10/3\)

(2) \(5/4\)

(3) \(8/3\)

(4) \(3/2\)

","Conservation of Momentum, Collisions and COM"
86," For what values of \(J\) (in \(N - s\) ) the
\(2\text{\ }\text{kg}\) block will change its direction of velocity :

(1) \(J < 12\)

(2) \(J > 12\)

(3) \(J < 10\)

(4) \(J > 10\)


","Conservation of Momentum, Collisions and COM"
88," Car will start moving after time
\(t = \ldots\ldots\ldots\ldots..\) second :

(1) 4

(2) 10

(3) 5

(4) 8

","Conservation of Momentum, Collisions and COM"
89," Maximum speed of car will be \(v =\) \(m/s\) : (Take
\(\mathcal{l}n\frac{4}{3} = 0.28\) )

(1) \(\ 0.6\)

(2) \(0.8\)

(3) \(1.0\)

(4) \(1.2\)

","Conservation of Momentum, Collisions and COM"
90," Car will stop after (from starting)
\(t = \ldots\ldots\ldots\ldots\) seconds :

(1) \(12.2\)

(2) \(6.4\)

(3) \(10.6\)

(4) \(5.8\)


","Conservation of Momentum, Collisions and COM"
91," The centre of mass of the two particles is moving in a
straight line which equation is :

(1) \(y = x + 2\)

(2) \(y = 4x + 2\)

(3) \(y = 2x - 4\)

(4) \(y = 2x + 4\)

","Conservation of Momentum, Collisions and COM"
92," If both the particles have the same value of coefficient of
friction \(\mu = 0.2\). The centre of mass will stop at time
\(= \ldots\ldots s\) :

(1) \(1.5\)

(2) \(4.5\)

(3) \(3.0\)

(4) \(2.0\)

","Conservation of Momentum, Collisions and COM"
93," Co-ordinates of centre of mass where it will stop finally
are :-

(1) \((2.0\text{\ }m,14.25\text{\ }m)\)

(2) \((2.25\text{\ }m,10\text{\ }m)\)

(3) \((3.75\text{\ }m,9\text{\ }m)\)

(4) \((1.75\text{\ }m,12\text{\ }m)\)


","Conservation of Momentum, Collisions and COM"
95," If coefficient of friction between the two blocks is equal
to \(0.4\), then magnitude of initial slope of \(p_{1}\) versus \(t\)
and \(p_{2}\) versus \(t\) (in SI unit) will be :-

(1) 4 and 2

(2) 2 and 4

(3) 4 and 4

(4) 2 and 2

","Conservation of Momentum, Collisions and COM"
96," Momentum of both the blocks are equal at time \(t =\)

(1) \(1.75\)

(2) \(1.875\)

(3) \(2.5\)

(4) \(1.25\)


","Conservation of Momentum, Collisions and COM"
97," Then the displacement of the centre of mass at time \(t\) is
:-

(1) \(\frac{\text{Ft}^{2}}{2\text{\ }m}\)

(2) \(\frac{\text{Ft}^{2}}{3\text{\ }m}\)

(3) \(\frac{\text{Ft}^{2}}{4\text{\ }m}\)

(4) \(\frac{\text{Ft}^{2}}{\text{\ }m}\)

","Conservation of Momentum, Collisions and COM"
98," If the extension of the spring is \(x_{0}\) at time t, then
the displacement of the first block at this instant is :-

(1)
\(\frac{1}{2}\left( \frac{\text{Ft}^{2}}{2\text{\ }m} + x_{0} \right)\)

(2)
\(- \frac{1}{2}\left( \frac{\text{Ft}^{2}}{2\text{\ }m} + x_{0} \right)\)

(3)
\(\frac{1}{2}\left( \frac{\text{Ft}^{2}}{2\text{\ }m} - x_{0} \right)\)

(4)
\(\left( \frac{\text{Ft}^{2}}{2\text{\ }m} + x_{0} \right)\)

","Conservation of Momentum, Collisions and COM"
99," If the extension of the spring is \(x_{0}\) at time \(t\),
then the displacement of the second block at this instant is :-

(1)
\(\left( \frac{\text{Ft}^{2}}{2\text{\ }m} - x_{0} \right)\)

(2)
\(\frac{1}{2}\left( \frac{\text{Ft}^{2}}{2\text{\ }m} + x_{0} \right)\)

(3)
\(\frac{1}{2}\left( \frac{2\text{Ft}^{2}}{\text{\ }m} - x_{0} \right)\)

(4)
\(\frac{1}{2}\left( \frac{\text{Ft}^{2}}{2\text{\ }m} - x_{0} \right)\)


","Conservation of Momentum, Collisions and COM"
100," Which graphs pertain to physically possible explosions ?

(1) II, \(V\)

(2) \(\text{VI}\)

(3) I, III

(4) IV

","Conservation of Momentum, Collisions and COM"
102," If all the graphs are possible then, in which of the
following cases external force must be acting on the box :-

(1) II

(2) \(V\)

(3) VI

(4) I


","Conservation of Momentum, Collisions and COM"
103," Two identical particles move towards each other with
velocity \(2v\) and \(v\) respectively. The velocity of centre of mass
is-

{[}AIEEE - 2002{]}

(1) \(v\)

(2) \(V/3\)

(3) \(v/2\)

(4) zero

","Conservation of Momentum, Collisions and COM"
104," Consider the following two statements :-

{[}AIEEE - 2003{]}

A : Linear momentum of a system of particles is zero. B : Kinetic energy
of a system of particles is zero. Then-

(1) A does not imply B and B does not imply A

(2) A implies \(B\) but B does not imply A

(3) A does not imply B but B implies A

(4) A implies \(B\) and \(B\) implies \(A\)

","Conservation of Momentum, Collisions and COM"
105," Two spherical bodies of mass \(M\) and \(5M\) and radii
\(R\) and \(2R\) respectively are released in free space with initial
separation between their centres equal to \(12R\). It they attract each
other due to gravitational force only, then the distance covered by the
smaller body just before collision is-

{[}AIEEE - 2003{]}

(1) \(2.5R\)

(2) \(4.5R\)

(3) \(7.5R\)

(4) \(1.5R\)

","Conservation of Momentum, Collisions and COM"
106," A body A of mass \(M\) while falling vertically downwards
under gravity breaks into two parts; a body B of mass \(\frac{1}{3}M\)
and, a body \(C\) of mass \(\frac{2}{3}M\). The centre of mass of bodies
\(B\) and \(C\) taken together shifts compared to that of body A
towards-

{[}AIEEE - 2005{]}

(1) depends on height of breaking

(2) does not shift

(3) body \(C\)

(4) body B

","Conservation of Momentum, Collisions and COM"
108," A mass \(m\) moves with a velocity \(v\) and collides
inelastically with another identical mass. After collision the
\(\ ^{\text{st~}}\) mass moves with velocity \(\frac{v}{\sqrt{3}}\) in a
direction perpendicular to the initial direction of motion. Find the
speed of the second mass after collision-

{[}AIEEE-2005{]}

(1) \(v\)

(2) \(\sqrt{3}v\)

(3) \(\frac{2}{\sqrt{3}}v\)

(4) \(\frac{V}{\sqrt{3}}\)

","Conservation of Momentum, Collisions and COM"
