,text,unit
12," Among the following four compounds\\
(i) Phenol\\
(ii) Methyl phenol\\
(iii) Meta-nitrophenol\\
(iv) Para-nitrophenol\\
The acidity order is\\
(1) (iv) \(>\) (iii) \(>\) (i) \(>\) (ii)

(2) (iii) \(>\) (iv) \(>\) (i) \(>\) (ii)\\
(3) (i) \(>\) (iv) \(>\) (iii) \(>\) (ii)

(4) (ii) \(>\) (i) \(>\) (iii) \(>\) (iv)

","Alcohols, Phenols and Ethers"
13," When glycerol is treated with excess of \(\text{HI}\), it produces\\
(1) 2-iodopropane\\
(2) allyl iodide\\
(3) propene\\
(4) glycerol triiodide.

","Alcohols, Phenols and Ethers"
14," Consider the following reaction :

the product \(Z\) is\\
(1) benzaldehyde\\
(2) benzoic acid\\
(3) benzene\\
(4) toluene.

","Alcohols, Phenols and Ethers"
15," Ethylene oxide when treated with Grignard reagent yields\\
(1) primary alcohol\\
(2) secondary alcohol\\
(3) tertiary alcohol\\
(4) cyclopropyl alcohol.

","Alcohols, Phenols and Ethers"
16," Which one of the following will not form a yellow precipitate on
heating with an alkaline solution of iodine?\\
(1) \(\text{CH}_{3}CH(OH)\text{CH}_{3}\)\\
(2) \(\text{CH}_{3}\text{CH}_{2}CH(OH)\text{CH}_{3}\)\\
(3) \(\text{CH}_{3}\text{OH}\)\\
(4) \(\text{CH}_{3}\text{CH}_{2}\text{OH}\)

","Alcohols, Phenols and Ethers"
17," \(n\)-Propyl alcohol and isopropyl alcohol can be chemically
distinguished by which reagent?\\
(1) \(\text{PCl}_{5}\)\\
(2) Reduction\\
(3) Oxidation with potassium dichromate\\
(4) Ozonolysis

","Alcohols, Phenols and Ethers"
18," When phenol is treated with \(\text{CHCl}_{3}\) and \(\text{NaOH}\),
the product formed is\\
(1) benzaldehyde\\
(2) salicylaldehyde\\
(3) salicylic acid\\
(4) benzoic acid.

","Alcohols, Phenols and Ethers"
19," Which of the following is correct?\\
(1) On reduction, any aldehyde gives secondary alcohol.\\
(2) Reaction of vegetable oil with \(H_{2}\text{SO}_{4}\) gives
glycerine.\\
(3) Alcoholic iodine with \(\text{NaOH}\) gives iodoform.\\
(4) Sucrose on reaction with \(\text{NaCl}\) gives invert sugar.

","Alcohols, Phenols and Ethers"
20," When 3,3-dimethyl-2-butanol is heated with \(H_{2}\text{SO}_{4}\),
the major product obtained is\\
(1) 2,3-dimethyl-2-butene\\
(2) cis and trans isomers of 2,3-dimethyl-2-butene\\
(3) 2,3-dimethyl-1-butene\\
(4) 3,3-dimethyl-1-butene.

","Alcohols, Phenols and Ethers"
21," The alkene \(R - CH = \text{CH}_{2}\) reacts readily with
\(B_{2}H_{6}\) and the product on oxidation with alkaline hydrogen
peroxides produces


(1) a

(2) b

(3) c

(4) d

","Alcohols, Phenols and Ethers"
22," On heating glycerol with conc. \(H_{2}\text{SO}_{4}\), a compound is
obtained which has bad odour. The compound is\\
(1) acrolein\\
(2) formic acid\\
(3) allyl alcohol\\
(4) glycerol sulphate.

","Alcohols, Phenols and Ethers"
23," Ethanol and dimethyl ether form a pair of functional isomers. The
boiling point of ethanol is higher than that of dimethyl ether, due to
the presence of\\
(1) \(H\)-bonding in ethanol\\
(2) H-bonding in dimethyl ether\\
(3) \(\text{CH}_{3}\) group in ethanol\\
(4) \(\text{CH}_{3}\) group in dimethyl ether.

","Alcohols, Phenols and Ethers"
24," Increasing order of acid strength among \(p\)-methoxyphenol,
\(\ p\)-methylphenol and \(p\)-nitrophenol is\\
(1) \(p\)-nitrophenol, \(p\)-methoxyphenol, p-methylphenol\\
(2) p-methylphenol, p-methoxyphenol, \(p\)-nitrophenol\\
(3) p-nitrophenol, p-methylphenol, \(p\)-methoxyphenol\\
(4) p-methoxyphenol, p-methylphenol, p-nitrophenol.

","Alcohols, Phenols and Ethers"
25," Which one of the following on oxidation gives a ketone?\\
(1) Primary alcohol\\
(2) Secondary alcohol\\
(3) Tertiary alcohol\\
(4) All of these

","Alcohols, Phenols and Ethers"
26," What is formed when a primary alcohol undergoes catalytic
dehydrogenation?\\
(1) Aldehyde\\
(2) Ketone\\
(3) Alkene\\
(4) Acid

","Alcohols, Phenols and Ethers"
27," How many isomers of \(C_{5}H_{11}\text{OH}\) will be primary
alcohols?\\
(1) 5\\
(2) 4\\
(3) 2\\
(4) 3

","Alcohols, Phenols and Ethers"
28," \(\text{HBr}\) reacts fastest with\\
(1) 2-methylpropan-1-ol\\
(2) methylpropan-2-ol\\
(3) propan-2-ol\\
(4) propan-1-ol.

","Alcohols, Phenols and Ethers"
29," When phenol is treated with excess bromine water. It gives

(1) \(m\)-bromophenol\\
(2) \(o\) - and \(p\)-bromophenols\\
(3) 2,4-dibromophenol\\
(4) 2,4,6-tribromophenol.

","Alcohols, Phenols and Ethers"
30," The compound which reacts fastest with Lucas reagent at room
temperature is\\
(1) butan-1-ol\\
(2) butan-2-ol\\
(3) 2-methylpropan-1-ol\\
(4) 2-methylpropan-2-ol.

","Alcohols, Phenols and Ethers"
31," Which one of the following compounds will be most readily attacked
by an electrophile?\\
(1) Chlorobenzene\\
(2) Benzene\\
(3) Phenol\\
(4) Toluene

","Alcohols, Phenols and Ethers"
32," Propene, \(\text{CH}_{3}CH = \text{CH}_{2}\) can be converted into
1-propanol by oxidation. Indicate which set of reagents amongst the
following is ideal for the above conversion?\\
(1) \(\text{KMnO}_{4}\) (alkaline)\\
(2) Osmium tetroxide
\(\left( \text{OsO}_{4}/\text{CH}_{2}\text{Cl}_{2} \right)\)\\
(3) \(B_{2}H_{6}\) and alk. \(H_{2}O_{2}\) (4) \(O_{3}/Zn\)

","Alcohols, Phenols and Ethers"
33," Phenol is heated with \(\text{CHCl}_{3}\) and aqueous \(\text{KOH}\)
when salicylaldehyde is produced. This reaction is known as\\
(1) Rosenmund's reaction\\
(2) Reimer-Tiemann reaction\\
(3) Friedel-Crafts reaction\\
(4) Sommelet reaction.

","Alcohols, Phenols and Ethers"
34," Lucas reagent is\\
(1) conc. \(\text{HCl}\) and anhydrous \(\text{ZnCl}_{2}\)\\
(2) conc. \(\text{HNO}_{3}\) and hydrous \(\text{ZnCl}_{2}\)\\
(3) conc. \(\text{HCl}\) and hydrous \(\text{ZnCl}_{2}\)\\
(4) conc. \(\text{HNO}_{3}\) and anhydrous \(\text{ZnCl}_{2}\).

","Alcohols, Phenols and Ethers"
35," Methanol is industrially prepared by\\
(1) oxidation of \(\text{CH}_{4}\) by steam at \(900^{\circ}C\)\\
(2) reduction of \(\text{HCHO}\) using \(\text{LiAIH}_{4}\)\\
(3) reaction of \(\text{HCHO}\) with a solution of \(\text{NaOH}\)\\
(4) reduction of \(\text{CO}\) using \(H_{2}\) and
\(ZnO - \text{Cr}_{2}O_{3}\).

","Alcohols, Phenols and Ethers"
36," The major products \(C\) and \(D\) formed in the following reactions
respectively are

\[H_{3}C - \text{CH}_{2} - \text{CH}_{2} - O - C\left( \text{CH}_{3} \right)_{3}\overset{\text{~excess~}\text{HI}}{\longrightarrow}C + D\]

(1) \(H_{3}C - \text{CH}_{2} - \text{CH}_{2} - I\) and
\(I - C\left( \text{CH}_{3} \right)_{3}\)\\
(2) \(H_{3}C - \text{CH}_{2} - \text{CH}_{2} - OH\) and
\(I - C\left( \text{CH}_{3} \right)_{3}\)\\
(3) \(H_{3}C - \text{CH}_{2} - \text{CH}_{2} - I\) and
\(HO - C\left( \text{CH}_{3} \right)_{3}\)\\
(4) \(H_{3}C - \text{CH}_{2} - \text{CH}_{2} - OH\) and
\(HO - C\left( \text{CH}_{3} \right)_{3}\)

","Alcohols, Phenols and Ethers"
37," The heating of phenyl methyl ether with \(\text{HI}\) produces\\
(1) iodobenzene\\
(2) phenol\\
(3) benzene\\
(4) ethyl chloride.

","Alcohols, Phenols and Ethers"
38," The reaction\\
can be classified as\\
(1) dehydration reaction\\
(2) Williamson alcohol synthesis reaction\\
(3) Williamson ether synthesis reaction\\
(4) alcohol formation reaction.

","Alcohols, Phenols and Ethers"
39," The reaction,\\

is called\\
(1) Etard reaction\\
(2) Gattermann-Koch reaction\\
(3) Williamson synthesis\\
(4) Williamson continuous etherification process.

","Alcohols, Phenols and Ethers"
40," Among the following sets of reactants which one produces anisole?\\
(1) \(\text{CH}_{3}CHO;RMgX\)\\
(2) \(C_{6}H_{5}OH;NaOH;\text{CH}_{3}I\)\\
(3) \(C_{6}H_{5}\text{OH}\); neutral \(\text{FeCl}_{3}\)\\
(4) \(C_{6}H_{5}\text{CH}_{3};\text{CH}_{3}COCl;\text{AlCl}_{3}\)

","Alcohols, Phenols and Ethers"
41," Identify \(Z\) in the sequence of reactions :

\[\text{CH}_{3}\text{CH}_{2}CH = \text{CH}_{2}\overset{HBr/H_{2}O_{2}}{\longrightarrow}Y\]

\[\overset{C_{2}H_{5}\text{ONa}}{\longrightarrow}Z\]

(1)
\(\text{CH}_{3} - \left( \text{CH}_{2} \right)_{3} - O - \text{CH}_{2}\text{CH}_{3}\)

(2)
\(\left( \text{CH}_{3} \right)_{2}CH - O - \text{CH}_{2}\text{CH}_{3}\)

(3)
\(\text{CH}_{3}\left( \text{CH}_{2} \right)_{4} - O - \text{CH}_{3}\)

(4)
\(\text{CH}_{3}\text{CH}_{2} - \text{CH}\left( \text{CH}_{3} \right) - O - \text{CH}_{2}\text{CH}_{3}\)

","Alcohols, Phenols and Ethers"
42," Among the following ethers, which one will produce methyl alcohol on
treatment with hot concentrated HI?


(1) a

(2) b

(3) c

(4) d

","Alcohols, Phenols and Ethers"
43," The major organic product in the reaction is

\[\text{CH}_{3} - O - CH\left( \text{CH}_{3} \right)_{2} + HI \longrightarrow \text{~products~}\]


(1) a

(2) b

(3) c

(4) d

","Alcohols, Phenols and Ethers"
44," Ethyl chloride is converted into diethyl ether by\\
(1) Perkins reaction\\
(2) Grignard reaction\\
(3) Wurtz synthesis\\
(4) Williamson's synthesis.

","Alcohols, Phenols and Ethers"
45," Which one of the following compounds is resistant to nucleophilic
attack by hydroxyl ions?\\
(1) Diethyl ether\\
(2) Acetonitrile\\
(3) Acetamide\\
(4) Methyl acetate

","Alcohols, Phenols and Ethers"
46," The compound which does not react with sodium is\\
(1) \(\text{CH}_{3}\text{COOH}\)\\
(2) \(\text{CH}_{3}\text{CHOHCH}_{3}\)\\
(3) \(C_{2}H_{5}\text{OH}\)\\
(4) \(\text{CH}_{3}\text{OCH}_{3}\)

","Alcohols, Phenols and Ethers"
47," Which one is formed when sodium phenoxide is heated with ethyl
iodide?\\
(1) Phenetole\\
(2) Ethyl phenyl alcohol\\
(3) Phenol\\
(4) None of these

","Alcohols, Phenols and Ethers"
48," Consider the following reaction,\\

The product \(A\) is\\
(1) \(C_{6}H_{5}\text{CHO}\)\\
(2) \(C_{6}H_{5}\text{OH}\)\\
(3) \(C_{6}H_{5}\text{COCH}_{3}\)\\
(4) \(C_{6}H_{5}\text{Cl}\)

","Aldehydes, Ketones and Carboxylic Acids"
49," Which one of the following can be oxidised to the corresponding
carbonyl compound?\\
(1) 2-Hydroxypropane\\
(2) ortho-Nitrophenol\\
(3) Phenol\\
(4) 2-Methyl-2-hydroxypropane

","Aldehydes, Ketones and Carboxylic Acids"
50," In the following reaction, product \(P\) is
(1) \(\text{RCH}_{2}\text{OH}\)\\
(2) \(\text{RCOOH}\)\\
(3) \(\text{RCHO}\)\\
(4) \(\text{RCH}_{3}\)

","Aldehydes, Ketones and Carboxylic Acids"
51," Which alkene on ozonolysis gives
\(\text{CH}_{3}\text{CH}_{2}\text{CHO}\) and
\(\text{CH}_{3}\text{COCH}_{3}\) ?


","Aldehydes, Ketones and Carboxylic Acids"
52,"

(1) acetaldehyde\\
(2) ethanamine\\
(3) acetone\\
(4) dimethylamine.

","Aldehydes, Ketones and Carboxylic Acids"
53," Ketones \(\left\lbrack \text{RCO}R_{1} \right\rbrack\) where
\(R = R_{1} =\) alkyl group. It can be obtained in one step by\\
(1) oxidation of tertiary alcohol\\
(2) reaction of acid halide with alcohols\\
(3) hydrolysis of esters\\
(4) oxidation of primary alcohol.

","Aldehydes, Ketones and Carboxylic Acids"
54," The oxidation of toluene to benzaldehyde by chromyl chloride is
called\\
(1) Etard reaction\\
(2) Riemer-Tiemann reaction\\
(3) Wurtz reaction\\
(4) Cannizzaro's reaction.

","Aldehydes, Ketones and Carboxylic Acids"
55," eaction between benzaldehyde and acetophenone in presence of dilute
\(\text{NaOH}\) is known as\\
(1) Aldol condensation\\
(2) Cannizzaro's reaction

(3) Cross Cannizzaro's reaction\\
(4) Cross Aldol condensation.

","Aldehydes, Ketones and Carboxylic Acids"
56," Consider the reactions,

Identify \(A,X,Y\) and \(Z\).\\
(1) A-Methoxymethane, \(X\)-Ethanol,\\
Y-Ethanoic acid, Z-Semicarbazide.\\
(2) A-Ethanal, X-Ethanol, Y-But-2-enal, Z-Semicarbazone.\\
(3) A-Ethanol, \(X\)-Acetaldehyde,\\
Y-Butanone, Z-Hydrazone.\\
(4) A-Methoxymethane, \(X\)-Ethanoic acid, Y-Acetate ion, Z-Hydrazine.

","Aldehydes, Ketones and Carboxylic Acids"
57," Of the following, which is the product formed when cyclohexanone
undergoes aldol condensation followed by heating?

(1) a

(2) b

(3) c

(4) d

","Aldehydes, Ketones and Carboxylic Acids"
58," The correct structure of the product ' \(A\) ' formed in the
reaction

(1) a

(2) b

(3) c

(4) d

","Aldehydes, Ketones and Carboxylic Acids"
59," Which of the following reagents would distinguish
cis-cyclopenta-1,2-diol from the trans-isomer?\\
(1) \(\text{MnO}_{2}\)\\
(2) Aluminium isopropoxide\\
(3) Acetone\\
(4) Ozone

","Aldehydes, Ketones and Carboxylic Acids"
60," The correct statement regarding a carbonyl compound with a hydrogen
atom on its alphacarbon, is\\
(1) a carbonyl compound with a hydrogen atom on its alpha-carbon rapidly
equilibrates with its corresponding enol and this process is known as
carbonylation\\
(2) a carbonyl compound with a hydrogen atom on its alpha-carbon rapidly
equilibrates with its corresponding enol and this process is known as
keto-enol tautomerism\\
(3) a carbonyl compound with a hydrogen atom on its alpha-carbon never
equilibrates with its corresponding enol\\
(4) a carbonyl compound with a hydrogen atom on its alpha-carbon rapidly
equilibrates with its corresponding enol and this process is known as
aldehyde-ketone equilibration.

","Aldehydes, Ketones and Carboxylic Acids"
61," The product formed by the reaction of an aldehyde with a primary
amine is\\
(1) carboxylic acid\\
(2) aromatic acid\\
(3) Schiff's base\\
(4) ketone.

","Aldehydes, Ketones and Carboxylic Acids"
62," Reaction of a carbonyl compound with one of the following reagents
involves nucleophilic addition followed by elimination of water. The
reagent is\\
(1) hydrazine in presence of feebly acidic solution\\
(2) hydrocyanic acid\\
(3) sodium hydrogen sulphite\\
(4) a Grignard reagent.

","Aldehydes, Ketones and Carboxylic Acids"
63," Which one is most reactive towards nucleophilic addition reaction?

(1) a

(2) b

(3) c

(4) d

","Aldehydes, Ketones and Carboxylic Acids"
65," Acetone is treated with excess of ethanol in the presence of
hydrochloric acid. The product obtained is


(1) a

(2) b

(3) c

(4) d

","Aldehydes, Ketones and Carboxylic Acids"
66," \(\text{CH}_{3}\text{CHO}\) and
\(C_{6}H_{5}\text{CH}_{2}\text{CHO}\) can be distinguished chemically
by\\
(1) Benedict's test\\
(2) iodoform test\\
(3) Tollens' reagent test\\
(4) Fehling's solution test.

","Aldehydes, Ketones and Carboxylic Acids"
67," Consider the reaction:

\[RCHO + \text{NH}_{2}\text{NH}_{2} \rightarrow RCH = N - \text{NH}_{2}\]

What sort of reaction is it?\\
(1) Electrophilic addition-elimination reaction\\
(2) Free radical addition-elimination reaction

(3) Electrophilic substitution-elimination reaction\\
(4) Nucleophilic addition-elimination reaction

","Aldehydes, Ketones and Carboxylic Acids"
68," Which of the following compounds will give a yellow precipitate with
iodine and alkali?\\
(1) Acetophenone\\
(2) Methyl acetate\\
(3) Acetamide\\
(4) 2-Hydroxypropane

","Aldehydes, Ketones and Carboxylic Acids"
69," Clemmensen reduction of a ketone is carried out in the presence of
which of the following?\\
(1) Glycol with \(\text{KOH}\)\\
(2) \(Zn - Hg\) with \(\text{HCl}\)\\
(3) \(\text{LiAlH}_{4}\)\\
(4) \(H_{2}\) and \(\text{Pt}\) as catalyst

","Aldehydes, Ketones and Carboxylic Acids"
70," The order of reactivity of phenyl magnesium bromide ( \(PhMgBr)\)
with the following compounds:

(1) III \(>\) II \(>\) I\\
(2) II \(>\) I \(>\) III\\
(3) I \(>\) III \(>\) II\\
(4) I \(>\) II \(>\) III

","Aldehydes, Ketones and Carboxylic Acids"
71," Which of the following reactions will not result in the formation of
carbon-carbon bonds?\\
(1) Reimer-Tiemann reaction\\
(2) Cannizzaro reaction\\
(3) Wurtz reaction\\
(4) Friedel-Crafts acylation

","Aldehydes, Ketones and Carboxylic Acids"
72," Acetophenone when reacted with a base, \(C_{2}H_{5}\text{ONa}\),
yields a stable compound which has the structure


(1) a

(2) b

(3) c

(4) d

","Aldehydes, Ketones and Carboxylic Acids"
73," A strong base can abstract an \(\alpha\)-hydrogen from\\
(1) ketone\\
(2) alkane\\
(3) alkene\\
(4) amine.

","Aldehydes, Ketones and Carboxylic Acids"
74," Reduction of aldehydes and ketones into hydrocarbons using zinc
amalgam and conc. \(\text{HCl}\) is called\\
(1) Cope reduction\\
(2) Dow reduction\\
(3) Wolff-Kishner reduction\\
(4) Clemmensen reduction.

","Aldehydes, Ketones and Carboxylic Acids"
75," Which one of the following on treatment with \(50\%\) aqueous sodium
hydroxide yields the corresponding alcohol and acid?


(1) a

(2) b

(3) c

(4) d

","Aldehydes, Ketones and Carboxylic Acids"
76," The product formed in aldol condensation is\\
(1) a beta-hydroxy aldehyde or a beta-hydroxy ketone\\
(2) an alpha-hydroxy aldehyde or ketone\\
(3) an alpha, beta unsaturated ester\\
(4) a beta-hydroxy acid.

","Aldehydes, Ketones and Carboxylic Acids"
77," A carbonyl compound reacts with hydrogen cyanide to form cyanohydrin
which on hydrolysis forms a racemic mixture of \(\alpha\)-hydroxy acid.
The carbonyl compound is\\
(1) formaldehyde\\
(2) acetaldehyde\\
(3) acetone\\
(4) diethyl ketone.

","Aldehydes, Ketones and Carboxylic Acids"
78," In this reaction :

\[\begin{matrix}
\text{CH}_{3}CHO + HCN \rightarrow \text{CH}_{3}CH(OH)CN\underset{\text{HOH}}{\longrightarrow} \\
\text{CH}_{3}CH(OH)COOH \\
\end{matrix}\]

an asymmetric centre is generated. The acid obtained would be\\
(1) D-isomer\\
(2) L-isomer\\
(3) \(50\% D + 50\% L\)-isomer\\
(4) \(20\% D + 80\% L\)-isomer.

","Aldehydes, Ketones and Carboxylic Acids"
79," When \(m\)-chlorobenzaldehyde is treated with \(50\%\)
\(\text{KOH}\) solution, the product(s) obtained is (are)


(1) a

(2) b

(3) c

(4) d

","Aldehydes, Ketones and Carboxylic Acids"
81," Which of the following is incorrect?\\
(1) \(\text{FeCl}_{3}\) is used in detection of phenol.\\
(2) Fehling solution is used in detection of glucose.\\
(3) Tollens' reagent is used in detection of unsaturation.\\
(4) \(\text{NaHSO}_{3}\) is used in detection of carbonyl compound.

","Aldehydes, Ketones and Carboxylic Acids"
82," First product of the reaction between \(\text{RCHO}\) and
\(\text{NH}_{2}\text{NH}_{2}\) is\\
(1) \(RCH = \text{NNH}_{2}\)\\
(2) \(RCH = NH\)\\
(3) \(\text{RCH}_{2}\text{NH}_{2}\)\\
(4) \(\text{RCON}_{3}\ \)

","Aldehydes, Ketones and Carboxylic Acids"
83," An ester \((A)\) with molecular formula, \(C_{9}H_{10}O_{2}\) was
treated with excess of \(\text{CH}_{3}\text{MgBr}\) and the complex so
formed, was treated with \(H_{2}\text{SO}_{4}\) to give an olefin (2).
Ozonolysis of \((B)\) gave a ketone with molecular formula
\(C_{8}H_{8}O\) which shows +ve iodoform test. The structure of \((A)\)
is\\
(1) \(H_{3}\text{CCH}_{2}\text{COC}_{6}H_{5}\)\\
(2) \(C_{2}H_{5}\text{COOC}_{6}H_{5}\)\\
(3) \(C_{6}H_{5}\text{COOC}_{2}H_{5}\)\\
(4) \(p - H_{3}CO - C_{6}H_{4} - \text{COCH}_{3}\)

","Aldehydes, Ketones and Carboxylic Acids"
84," Iodoform test is not given by\\
(1) ethanal\\
(2) ethanol\\
(3) 2-pentanone\\
(4) 3-pentanone.

","Aldehydes, Ketones and Carboxylic Acids"
85," Phenylmethanol can be prepared by reducing the benzaldehyde with\\
(1) \(\text{CH}_{3}\text{Br}\) and \(\text{Na}\)\\
(2) \(\text{CH}_{3}I\) and \(\text{Mg}\)\\
(3) \(\text{CH}_{3}\text{Br}\)\\
(4) \(\text{Zn}\) and \(\text{HCl}\).

","Aldehydes, Ketones and Carboxylic Acids"
86," The oxidation of toluene with \(\text{CrO}_{3}\) in the presence of
\(\left( \text{CH}_{3}\text{CO} \right)_{2}O\) gives a product \(A\),
which on treatment with aqueous \(\text{NaOH}\) produces\\
(1) \(C_{6}H_{5}\text{COONa}\)\\
(2) 2, 4-diacetyl toluene\\
(3) \(C_{6}H_{5}\text{CHO}\)\\
(4) \(\left( C_{6}H_{5}\text{CO} \right)_{2}O\)

","Aldehydes, Ketones and Carboxylic Acids"
87," When aniline reacts with oil of bitter almonds
\(\left( C_{6}H_{5}\text{CHO} \right)\) condensation takes place and
benzal derivative is formed. This is known as\\
(1) Schiff's base\\
(2) Benedict's reagent\\
(3) Millon's base\\
(4) Schiff's reagent.

","Aldehydes, Ketones and Carboxylic Acids"
88," Compound \(A\) has a molecular formula
\(C_{2}\text{Cl}_{3}\text{OH}\). It reduces Fehling's solution and on
oxidation, it gives a monocarboxylic acid \(B\). If \(A\) is obtained by
the action of chlorine on ethyl alcohol, then compound \(A\) is\\
(1) methyl chloride\\
(2) monochloroacetic acid\\
(3) chloral\\
(4) chloroform.

","Aldehydes, Ketones and Carboxylic Acids"
89," Which of the following compounds will undergo self aldol
condensation in the presence of cold dilute alkali?\\
(1) \(CH \equiv C - CHO\)\\
(2) \(\text{CH}_{2} = CHCHO\)\\
(3) \(C_{6}H_{5}\text{CHO}\)\\
(4) \(\text{CH}_{3}\text{CH}_{2}\text{CHO}\)

","Aldehydes, Ketones and Carboxylic Acids"
90," Which of the following compounds will give positive test with
Tollens' reagent?\\
(1) Acetic acid\\
(2) Acetone\\
(3) Acetamide\\
(4) Acetaldehyde

","Aldehydes, Ketones and Carboxylic Acids"
91," \(\left( \text{CH}_{3} \right)_{2}C = \text{CHCOCH}_{3}\) can be
oxidised to \(\left( \text{CH}_{3} \right)_{2}C = CHCOOH\) by\\
(1) chromic acid\\
(2) \(\text{NaOI}\)\\
(3) \(\text{Cu}\) at \(300^{\circ}C\)\\
(4) \(\text{KMnO}_{4}\)

","Aldehydes, Ketones and Carboxylic Acids"
92," In which of the following, the number of carbon atoms does not
remain same when carboxylic acid is obtained by oxidation?\\
(1) \(\text{CH}_{3}\text{COCH}_{3}\)\\
(2) \(\text{CCl}_{3}\text{CH}_{2}\text{CHO}\)\\
(3) \(\text{CH}_{3}\text{CH}_{2}\text{CH}_{2}\text{OH}\)\\
(4) \(\text{CH}_{3}\text{CH}_{2}\text{CHO}\)

","Aldehydes, Ketones and Carboxylic Acids"
93," Acetaldehyde reacts with\\
(1) electrophiles only\\
(2) nucleophiles only\\
(3) free radicals only\\
(4) both electrophiles and nucleophiles.

","Aldehydes, Ketones and Carboxylic Acids"
94," The reagent which can be used to distinguish acetophenone from
benzophenone is\\
(1) 2,4-dinitrophenylhydrazine\\
(2) aqueous solution of \(\text{NaHSO}_{3}\)\\
(3) Benedict reagent\\
(4) \(I_{2}\) and \(\text{NaOH}\).

","Aldehydes, Ketones and Carboxylic Acids"
95,"

The above shown polymer is obtained when a carbonyl compound is allowed
to stand. It is a white solid. The polymer is\\
(1) trioxane\\
(2) formose\\
(3) paraformaldehyde\\
(4) metaldehyde.

","Aldehydes, Ketones and Carboxylic Acids"
96,"

(1) phorone\\
(2) mesityl oxide\\
(3) deacetonyl alcohol\\
(4) mesitylene.

","Aldehydes, Ketones and Carboxylic Acids"
97,"

This polymer \((B)\) is obtained when acetone is saturated with hydrogen
chloride gas, \(B\) can be\\
(1) phorone\\
(2) formose\\
(3) diacetone alcohol\\
(4) mesityl oxide.

","Aldehydes, Ketones and Carboxylic Acids"
